p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene	cellline
RGS7	0	2.92628020941236	0.664	0.242	0	A	RGS7	h1806
KRT4	0	0.570836719985736	0.818	0.48	0	A	KRT4	h1806
PPP2R2B	0	1.26659264425654	0.789	0.475	0	A	PPP2R2B	h1806
H19	0	0.834382848620443	0.731	0.43	0	A	H19	h1806
PCSK5	0	1.0815231655683	0.777	0.503	0	A	PCSK5	h1806
EDIL3	0	1.07483115324351	0.7	0.464	0	A	EDIL3	h1806
ADARB2	0	0.745426483196237	0.891	0.656	0	A	ADARB2	h1806
TCF7L1	0	1.1862308041944	0.761	0.535	0	A	TCF7L1	h1806
EEF1A2	0	1.01030876372165	0.6	0.4	0	A	EEF1A2	h1806
FRAS1	0	1.03423823739282	0.607	0.41	0	A	FRAS1	h1806
CLDN11	0	0.848453033107756	0.7	0.505	0	A	CLDN11	h1806
FGFR2	0	1.10940190574431	0.667	0.477	0	A	FGFR2	h1806
MEGF6	0	0.908746255173353	0.695	0.507	0	A	MEGF6	h1806
CCNYL1	0	0.916918806141789	0.81	0.623	0	A	CCNYL1	h1806
LINC01224	0	0.832059872709779	0.694	0.509	0	A	LINC01224	h1806
PLEKHG4B	0	0.976024747106865	0.793	0.611	0	A	PLEKHG4B	h1806
MEST	0	0.880732577787875	0.657	0.477	0	A	MEST	h1806
ANK1	0	0.844704232066088	0.639	0.468	0	A	ANK1	h1806
SIPA1L3	0	0.710983860812926	0.79	0.634	0	A	SIPA1L3	h1806
ERRFI1	0	0.883843737217294	0.733	0.58	0	A	ERRFI1	h1806
SPINT2	0	0.628372789188685	0.738	0.591	0	A	SPINT2	h1806
TPM1	0	0.80009457133195	0.758	0.617	0	A	TPM1	h1806
LYPD6B	0	0.770133184571115	0.812	0.675	0	A	LYPD6B	h1806
LIMCH1	0	0.755111479153351	0.904	0.784	0	A	LIMCH1	h1806
PPP2R3A	0	0.643270726544667	0.825	0.71	0	A	PPP2R3A	h1806
ZNF804A	0	0.743708706151172	0.919	0.814	0	A	ZNF804A	h1806
CDV3	0	0.633079619226024	0.785	0.681	0	A	CDV3	h1806
HIVEP3	0	0.833821634747271	0.94	0.852	0	A	HIVEP3	h1806
LAMB1	0	0.619611678693723	0.86	0.779	0	A	LAMB1	h1806
EPB41L1	0	0.512893589172252	0.953	0.874	0	A	EPB41L1	h1806
TBC1D8	0	0.554068778290113	0.921	0.847	0	A	TBC1D8	h1806
CAP2	0	0.536872706978831	0.88	0.812	0	A	CAP2	h1806
MEIS2	0	0.587299316405321	0.916	0.849	0	A	MEIS2	h1806
DIAPH3	0	0.593812717681125	0.922	0.856	0	A	DIAPH3	h1806
ACTN4	0	0.519684293277241	0.97	0.914	0	A	ACTN4	h1806
HACD2	0	0.469253800037862	0.938	0.886	0	A	HACD2	h1806
CRIM1	0	0.841290175761718	0.976	0.932	0	A	CRIM1	h1806
GALNT18	0	0.58147173077522	0.949	0.908	0	A	GALNT18	h1806
CDIN1	0	0.781254493302546	0.964	0.923	0	A	CDIN1	h1806
THBS1	0	0.905670312583037	0.976	0.945	0	A	THBS1	h1806
IGF1R	0	0.527557976429127	0.967	0.949	0	A	IGF1R	h1806
GRHL2	0	0.563458593790141	0.977	0.965	0	A	GRHL2	h1806
TEAD1	0	0.448902483980163	0.994	0.986	0	A	TEAD1	h1806
EXT1	0	0.452534532741767	0.986	0.982	0	A	EXT1	h1806
ASAP1	0	0.416403042456607	0.997	0.997	0	A	ASAP1	h1806
TMOD3	2.47388473886287e-303	0.426110452789718	0.907	0.845	6.18669095494828e-299	A	TMOD3	h1806
PLD1	5.18875898013073e-303	0.790383276160875	0.682	0.535	1.29760484575109e-298	A	PLD1	h1806
ILF3	1.19313441757393e-294	0.355375528991005	0.964	0.936	2.98379055146888e-290	A	ILF3	h1806
SAMD4B	2.08889654084526e-289	0.712542794537832	0.657	0.508	5.22391246934582e-285	A	SAMD4B	h1806
NEDD4	1.05942225841105e-286	0.564101728775564	0.809	0.709	2.64940318383435e-282	A	NEDD4	h1806
SMC4	7.98793434939375e-281	0.336808736316068	0.968	0.934	1.99762262209639e-276	A	SMC4	h1806
ATXN1	2.52214618897915e-279	0.4740967194073	0.923	0.882	6.30738318939906e-275	A	ATXN1	h1806
PLEKHA7	3.96699596183745e-276	0.401148579584683	0.952	0.916	9.92066350136309e-272	A	PLEKHA7	h1806
WNT7B	1.29986612196622e-269	0.827926748516431	0.642	0.506	3.25070519781312e-265	A	WNT7B	h1806
THRB	6.94462731596552e-265	0.600942950395418	0.8	0.7	1.73671239917666e-260	A	THRB	h1806
EFNA5	1.75697434535426e-264	0.474389369394052	0.923	0.899	4.39384144286194e-260	A	EFNA5	h1806
SAMD12	2.43866959575618e-258	0.782002763123286	0.601	0.444	6.09862492506706e-254	A	SAMD12	h1806
SUPT5H	5.00838760591133e-247	0.651407582643932	0.661	0.517	1.2524975724863e-242	A	SUPT5H	h1806
VENTXP1.1	7.8822794108834e-240	0.693007776130517	0.669	0.511	1.97120043507372e-235	A	VENTXP1.1	h1806
DNAJA1	5.31507570655799e-229	0.512573786216548	0.83	0.754	1.32919413269602e-224	A	DNAJA1	h1806
FNDC3A	3.4090936470181e-228	0.413007808869755	0.902	0.863	8.52546139246288e-224	A	FNDC3A	h1806
KLHL29	7.08342014145907e-228	0.682520414442289	0.703	0.583	1.77142170897608e-223	A	KLHL29	h1806
SLC22A23	1.56874941187379e-226	0.599113311042266	0.705	0.59	3.92312852921397e-222	A	SLC22A23	h1806
ZNF106	2.82649211486333e-225	0.373251225848346	0.906	0.869	7.06849148085022e-221	A	ZNF106	h1806
SBF2	1.5521918044617e-224	0.421079835451652	0.932	0.924	3.88172126459782e-220	A	SBF2	h1806
RPS16	2.33546748561796e-224	0.591299535514697	0.68	0.55	5.84053708803341e-220	A	RPS16	h1806
FBL	4.83217117132263e-223	0.611815478919922	0.643	0.507	1.20842936652436e-218	A	FBL	h1806
MBNL1	4.41756720734403e-220	0.270327933377557	0.989	0.979	1.1047452072126e-215	A	MBNL1	h1806
ZNF254	2.83312077494049e-219	0.386746372412217	0.908	0.868	7.08506843397118e-215	A	ZNF254	h1806
MUC16	4.88172442522407e-216	0.445058944416776	0.646	0.472	1.22082164426003e-211	A	MUC16	h1806
ZNF91	1.18921382225869e-215	0.324223867048946	0.953	0.926	2.97398592670453e-211	A	ZNF91	h1806
TP53BP1	6.49565842162908e-214	0.390445739658938	0.879	0.819	1.624434258081e-209	A	TP53BP1	h1806
TRPM7	2.46939132243009e-212	0.460475489497617	0.798	0.712	6.17545381913317e-208	A	TRPM7	h1806
ENAH	6.12673386256388e-211	0.327002460465444	0.947	0.925	1.53217360434997e-206	A	ENAH	h1806
GTF2F2	1.20166398091528e-210	0.512849979486887	0.796	0.728	3.00512128347294e-206	A	GTF2F2	h1806
RSRC1	3.52470788217333e-210	0.337197234871502	0.933	0.891	8.81458947173906e-206	A	RSRC1	h1806
HNRNPL	1.75587662226415e-208	0.433424172413581	0.818	0.735	4.39109625695819e-204	A	HNRNPL	h1806
KDM1A	3.13424082550625e-207	0.369156916123462	0.917	0.874	7.83810945642603e-203	A	KDM1A	h1806
EXPH5	1.02105081292437e-206	0.512567569257492	0.764	0.665	2.55344387296127e-202	A	EXPH5	h1806
SASH1	1.09054206591292e-205	0.431650247189551	0.903	0.874	2.72722759843502e-201	A	SASH1	h1806
MYO1B	1.61310378097725e-204	0.299010536576441	0.981	0.971	4.03404993546791e-200	A	MYO1B	h1806
TIAM2	2.34119134937018e-203	0.612569042421484	0.751	0.68	5.85485132650495e-199	A	TIAM2	h1806
KNL1	2.76835390474647e-203	0.379746800791864	0.901	0.835	6.92309944498998e-199	A	KNL1	h1806
ULK4	6.10621433938613e-203	0.51430734724665	0.77	0.668	1.52704208199368e-198	A	ULK4	h1806
