p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene	cellline
TMEM163	0	2.37350236492161	0.863	0.239	0	A	TMEM163	mb231
ZNF804A	0	2.33213903330164	0.771	0.243	0	A	ZNF804A	mb231
SLCO1B3	0	1.62858339574517	0.791	0.316	0	A	SLCO1B3	mb231
COLGALT2	0	2.29758058144058	0.634	0.204	0	A	COLGALT2	mb231
ROBO1	0	1.88015216308395	0.621	0.204	0	A	ROBO1	mb231
BMPR1B	0	2.02692865179814	0.624	0.208	0	A	BMPR1B	mb231
CFH	0	1.70199013339167	0.632	0.233	0	A	CFH	mb231
PPP1R9A	0	1.63561445514116	0.726	0.329	0	A	PPP1R9A	mb231
MYO5C	0	1.39503689238041	0.721	0.335	0	A	MYO5C	mb231
NALF1	0	1.40993076794558	0.64	0.273	0	A	NALF1	mb231
MACROD2	0	1.79985981370302	0.6	0.24	0	A	MACROD2	mb231
CACNB4	0	1.64232327108507	0.605	0.279	0	A	CACNB4	mb231
GALNT5	0	1.22167570512803	0.759	0.452	0	A	GALNT5	mb231
RPH3AL	0	1.36471423459537	0.925	0.621	0	A	RPH3AL	mb231
PXDN	0	1.04130015964071	0.762	0.461	0	A	PXDN	mb231
NLGN1	0	1.18979927247916	0.725	0.427	0	A	NLGN1	mb231
KRT81	0	0.756434661784869	0.615	0.317	0	A	KRT81	mb231
FLRT2	0	1.12586581840885	0.688	0.397	0	A	FLRT2	mb231
JAG1	0	1.12381219906603	0.828	0.544	0	A	JAG1	mb231
ARHGDIB	0	0.997124848087761	0.6	0.321	0	A	ARHGDIB	mb231
ANK2	0	1.1613458952734	0.627	0.355	0	A	ANK2	mb231
LGR4	0	1.19277229753214	0.878	0.608	0	A	LGR4	mb231
CSGALNACT1	0	1.09203274223172	0.668	0.414	0	A	CSGALNACT1	mb231
GPR39	0	0.90276985522765	0.837	0.591	0	A	GPR39	mb231
IDS	0	0.88837953284304	0.681	0.436	0	A	IDS	mb231
TBC1D8	0	0.95230703805073	0.765	0.524	0	A	TBC1D8	mb231
ANKRD44	0	1.00761109149884	0.604	0.366	0	A	ANKRD44	mb231
SHANK2	0	1.19249548319998	0.663	0.427	0	A	SHANK2	mb231
ETV1	0	0.716624713315608	0.673	0.442	0	A	ETV1	mb231
PEG10	0	1.07443983885446	0.619	0.392	0	A	PEG10	mb231
MGST1	0	1.05935986009464	0.863	0.642	0	A	MGST1	mb231
PPARG	0	1.10982644998257	0.779	0.56	0	A	PPARG	mb231
GALNT3	0	0.914105435619248	0.661	0.446	0	A	GALNT3	mb231
FAM107B	0	1.08859671163959	0.884	0.672	0	A	FAM107B	mb231
PLCE1	0	0.78573817195343	0.789	0.581	0	A	PLCE1	mb231
TMTC2	0	0.841832240299494	0.615	0.407	0	A	TMTC2	mb231
AHNAK2	0	0.760620525098457	0.627	0.42	0	A	AHNAK2	mb231
ANTXR2	0	0.600099444552554	0.921	0.72	0	A	ANTXR2	mb231
ARHGAP24	0	0.629434184344583	0.62	0.419	0	A	ARHGAP24	mb231
CADPS2	0	1.08704810816392	0.746	0.545	0	A	CADPS2	mb231
MAN2A1	0	0.807079911212167	0.848	0.649	0	A	MAN2A1	mb231
GRIP1	0	0.601933806436924	0.613	0.415	0	A	GRIP1	mb231
TGFBR3	0	0.859071641809382	0.69	0.497	0	A	TGFBR3	mb231
SDC2	0	0.809029003428103	0.669	0.477	0	A	SDC2	mb231
PARD3B	0	0.826389652220484	0.795	0.605	0	A	PARD3B	mb231
ARSJ	0	0.777970913926865	0.68	0.493	0	A	ARSJ	mb231
LMO7	0	0.781142318209484	0.938	0.751	0	A	LMO7	mb231
FAM13A	0	0.714118416694072	0.647	0.461	0	A	FAM13A	mb231
LPCAT1	0	0.801757243110499	0.616	0.433	0	A	LPCAT1	mb231
SATB2	0	0.828609782442639	0.718	0.538	0	A	SATB2	mb231
PDLIM5	0	0.893394078095641	0.887	0.708	0	A	PDLIM5	mb231
DUSP4	0	0.780549504486144	0.928	0.75	0	A	DUSP4	mb231
TGFBR2	0	0.78398557508905	0.723	0.545	0	A	TGFBR2	mb231
