gene	log2FC	p_val	p_val_adj
3303	BICC1	2.81946865759705	2.32940393876477e-05	0.00243398942172972
9070	DIO2	2.18160725250116	4.61222791594877e-06	0.00107339122407535
359	TNC	2.02560205714632	0.0191154018537934	0.148570901230919
5149	MUC4	1.93335063073479	0.00111625377437308	0.0288756124214688
9057	EGFEM1P	1.64704982069497	0.00255022998492444	0.0473944737670168
8036	RGS7	1.63409034591568	0.00677939062774044	0.0827425030131849
9841	LINC01029	1.60632109561054	0.0900300731626936	0.341127921527833
8455	IL1RAPL2	1.45217546571671	0.0222314005472555	0.163912276910635
1305	TGFB2	1.41667241222801	6.1337756928988e-05	0.00467490071266699
7342	NEGR1	1.39516303200134	7.36152831592346e-06	0.0013959638880566
7676	BASP1	1.32726636924319	0.00101363305654037	0.0272067267148787
8023	PAPPA	1.29278181202354	0.000159120517262143	0.00871333741585211
7541	PDZK1	1.25161794149844	0.00494502613300157	0.070068109279859
5399	ANKRD1	1.17937498821091	0.00226992545289802	0.0442008498270175
8112	ZNF730	1.17210802390951	0.0114623349455943	0.11149438919854
5540	MAGI1	1.147780098698	4.27976647408494e-05	0.00381085292996781
8171	PRR16	1.12688501863399	0.0299730374617528	0.190873074383301
2391	PPM1H	1.11482690867682	0.0260447392776292	0.178229430104257
6590	MAMDC2	1.08668030377563	0.000204956898966776	0.010064895223359
10062	ENSG00000285471	1.08111416423056	0.00806898951553445	0.090648957461086
9307	LINC02474	1.06601699841931	0.165202240632005	0.462710870916775
6714	FBN1	1.06239414977399	0.00721487454535782	0.0862080692467492
9552	MIR4300HG	1.04274151347341	0.0405217714964749	0.223809568567369
5254	SDK1	1.03191295053145	4.72414624491825e-05	0.00395193450354889
3025	ABCG2	0.986684282696118	0.000247082553550161	0.0112127411571504
5622	TCF7L1	0.970169759719023	0.00282047395125123	0.0503164690954923
9772	ENSG00000259345	0.950087888664466	0.00193005156293813	0.0400796939255995
53	THSD7A	0.94668391701857	0.130853116834734	0.414378371864845
3431	SOX4	0.934731627972549	7.15445333033763e-06	0.0013959638880566
8275	SDHAP3	0.895147410946461	0.00407683927664337	0.0632527790800426
7240	RBKS	0.888973674427792	5.91179238798838e-05	0.00458611773128796
119	AASS	0.881404978169686	0.000358853165689673	0.0141878626125956
1238	P3H2	0.878235083214821	0.000104493185622617	0.00677221658718733
6914	MGAT5B	0.862208583122917	0.000160638539320467	0.00874967363107225
4025	RNF128	0.860699011925644	0.0196079528044241	0.150853070411197
6054	STARD9	0.858863260082188	0.00149475520144506	0.0347020644707402
5136	IGSF11	0.84583973409352	0.032359625779179	0.198968353675378
2480	NEDD9	0.845671885710579	0.000946328971077671	0.0261232012047074
1060	COL16A1	0.835476795595918	0.016973946248453	0.138496581341959
5871	PPP2R2B	0.83368198877851	0.0794458067162749	0.319574893633475
8339	MITF	0.83306803869293	0.00417306627312401	0.0633069609433924
6477	EDIL3	0.83058412238675	0.0465704250583041	0.239879855431104
4767	TPM1	0.826809641828434	1.92197982695295e-05	0.00218678593644425
8666	COL13A1	0.818652702591711	0.000419299504601616	0.0161105320806986
9326	ENSG00000229855	0.803949513011355	0.312016657975838	0.62164613420591
6899	KRT80	0.801967158158323	2.29797960882082e-05	0.00243398942172972
6522	CITED2	0.792901656155936	1.11396640347975e-05	0.00165319072052647
5416	ADAM12	0.782879478101768	0.00349543586052887	0.0571777367600889
1606	EEF1A2	0.775440744361361	0.00242440216201512	0.0459299286723234
