gene	log2FC	p_val	p_val_adj
1	TSPAN6	0.187901301267009	0.0178053488568878	0.0373796565904555
2	DPM1	-0.148704605812879	0.00202798593675865	0.00573957235949798
3	SCYL3	-0.0651147396814082	0.428033903701166	0.52785228869127
4	FIRRM	0.139461405969989	0.00578080628282454	0.0143416737864168
5	CFH	-0.712074723739207	5.29671759474131e-06	3.05418431397667e-05
6	FUCA2	0.289702118446216	3.10241374508513e-13	8.01431030699117e-12
7	GCLC	0.120300017977082	0.00598161674017863	0.0147337415438059
8	NFYA	-0.00556322321124997	0.908620052191728	0.936252605583748
9	STPG1	-0.0825262366532585	0.23073130898332	0.320191594913329
10	NIPAL3	-0.240959851340309	2.70696027830347e-06	1.67691969758452e-05
11	LAS1L	0.11899686472574	0.0151103613236064	0.03260291575628
12	ANKIB1	0.0807047347098031	0.0010267390539618	0.00319460844462127
13	CYP51A1	0.0137941681975281	0.770776500555679	0.833186900328678
14	KRIT1	0.04742389865853	0.127681647611579	0.196798100353587
15	RAD52	-0.244622767460647	0.000311133723479325	0.00111785283891233
16	BAD	0.134660154282548	0.0132432169392517	0.0291339494641873
17	LAP3	0.237188043678036	1.60145730800002e-07	1.33021369482028e-06
18	HS3ST1	0.619133260106833	1.40264657994389e-12	3.29398797967279e-11
19	MAD1L1	0.0616943449108295	0.0241217455793136	0.0486436372113675
20	LASP1	-0.137538170998915	8.85210293759984e-07	6.20548030218583e-06
21	SNX11	-0.0290339715880056	0.711609944140983	0.783407793821519
22	M6PR	0.0861435486174763	0.019692383764199	0.0408351196940534
23	KLHL13	0.337792588405489	2.63836177159317e-09	3.19978781524322e-08
24	ALS2	0.059819899990922	0.131361432295709	0.201328638373118
25	CFLAR	-0.155892530865291	0.00931103329556346	0.0215381479836707
26	TFPI	-0.237623675933661	0.0096276635131518	0.0221632969032138
27	NDUFAF7	-0.172694891117989	0.000148698081743703	0.000582842757435733
28	RBM5	-0.0716589907467351	0.0694229511918308	0.118353860888501
29	SLC7A2	-0.0690593929842529	0.54705043698916	0.642568167035238
30	ARF5	0.146791686939066	0.0663506719339057	0.114000913384278
31	POLDIP2	0.15844947648886	0.0183601627267311	0.0384272962234783
32	PLXND1	-0.287325318402803	0.00112145184928748	0.00344674656712896
33	AK2	0.112558120294441	0.000418248620641929	0.00144831199634486
34	FKBP4	0.187467853222845	0.000415626849980279	0.00144068173124664
35	KDM1A	0.257927371728228	4.69621361243061e-15	1.76458091844529e-13
36	RBM6	-0.0193489292574131	0.537423665523545	0.633565172373622
37	CAMKK1	0.124124609080468	0.0126834493848217	0.0280578211289579
38	RECQL	0.0729332433585395	0.123914922758199	0.191937175365083
39	VPS50	0.0579495635573648	0.211806081455475	0.299049339286305
40	ARHGAP33	-0.483173237962317	6.24804311570129e-06	3.55512277062453e-05
41	NDUFAB1	0.373587526157733	3.41653711364894e-06	2.06450748510728e-05
42	SLC25A13	0.186860851254015	9.60763712554928e-10	1.29265253148829e-08
43	ST7	0.287210137806198	6.54629836671471e-24	6.83261626497606e-22
44	CDC27	0.00517348719330661	0.847172498219849	0.892519721054822
45	HCCS	0.119152744235131	0.0818872321815682	0.135991766334321
46	DVL2	-0.170473472338968	0.00722571217848695	0.017295178119135
