gene	log2FC	p_val	p_val_adj
1	TSPAN6	0.0611651317680916	0.5385112656493	0.671288426937475
2	DPM1	0.377992518535358	2.06086897595097e-12	4.96782466650121e-11
3	SCYL3	-0.279597748070307	0.0241574350694065	0.0627039648121397
4	FIRRM	-0.194607393929417	0.0021933107317277	0.00864462518824446
5	FUCA2	0.026387224438121	0.598042369050237	0.720045533063015
6	GCLC	-0.242853988287599	3.25303617009486e-07	3.44326131572066e-06
7	NFYA	-0.0404026669692894	0.540912445766004	0.673326681046123
8	STPG1	-0.159543745577937	0.0649529341277185	0.138285186624808
9	NIPAL3	-0.0467083171136127	0.461498439724233	0.6039372382589
10	LAS1L	0.0686003884954526	0.317234279320108	0.460594264425911
11	SEMA3F	0.233741879541837	0.145002355937089	0.257064336062809
12	ANKIB1	-0.0246611389314617	0.483956356454344	0.62411798293988
13	CYP51A1	-0.0958572459428206	0.100346936274476	0.193709088337922
14	KRIT1	0.0174392239732591	0.660484754776194	0.768346447574098
15	RAD52	0.0430557703614597	0.642970917898663	0.755510665149128
16	BAD	-0.0758672084510133	0.337910008672901	0.481656656573923
17	LAP3	0.130101143121908	0.0303647215363351	0.0753912840408565
18	HS3ST1	-0.543525949993592	2.42034695966205e-07	2.6213160531847e-06
19	MAD1L1	-0.08584286614281	0.00794877115600368	0.0255406803229747
20	LASP1	0.17725822508637	7.24963396686228e-07	7.13473882044517e-06
21	SNX11	0.183329708553511	0.0911784512637662	0.180095622616893
22	M6PR	0.0735133127255127	0.106999727440136	0.203356434752327
23	KLHL13	-0.50666014527039	7.08710116596604e-13	1.779719075216e-11
24	ALS2	-0.137619168985242	0.0116138767886935	0.0350965766166655
25	CFLAR	-0.136857581049994	0.0810686338115052	0.164615285219523
26	TFPI	-0.211098545534295	0.0823051100775018	0.166425368737793
27	NDUFAF7	0.205767048098715	0.000565849145452496	0.00269391347330843
28	RBM5	0.078575757708781	0.149553731201056	0.263419289764646
29	SLC7A2	-0.0334042407965113	0.826593343787321	0.887665221778507
30	ARF5	0.308802435320073	0.00440992254348312	0.0156144329041953
31	POLDIP2	0.164989814898922	0.059254634501213	0.128666562867894
32	PLXND1	0.0977800994417142	0.35859620146023	0.502615333400955
33	AK2	0.0220629163472017	0.602654739623038	0.723413841096586
34	FKBP4	0.24713659316597	3.33419846797126e-05	0.000225958195106997
35	KDM1A	-0.100279084478423	0.0057526166779356	0.0195049675967212
36	RBM6	-0.0238175546091128	0.558236870851801	0.6868110785348
37	CAMKK1	-0.281646460550511	1.43449270668775e-05	0.000106087467097827
38	RECQL	0.0709298564428427	0.220061918859492	0.351619002221865
39	VPS50	-0.043600042170383	0.455578471351241	0.597914037865757
40	ARHGAP33	-0.173299591086577	0.269534761803072	0.409208635179631
41	NDUFAB1	0.113652370488447	0.27422674909855	0.414459634285718
42	SLC25A13	-0.231786563627906	3.81057702417497e-09	5.6107800358535e-08
43	ST7	-0.298351394742239	2.744832297977e-13	7.19322335703788e-12
44	CDC27	0.0746952967900113	0.0440346502750033	0.101582861708497
45	HCCS	0.242740272383868	0.00731697171984332	0.0238187233250512
46	DVL2	0.0595050317652856	0.533376709068784	0.666611169847672
47	UPF1	0.0384770572502535	0.525175354501972	0.65962994399687
48	SKAP2	-0.235299161621407	7.45872375377503e-06	5.95135318510011e-05
49	SLC25A5	0.0789906779475979	0.0418850529350405	0.097529776815931
50	MCUB	-0.335736704290127	0.00427005595589044	0.015232488089917
51	HOXA11	0.0192882698215647	0.905188682530725	0.938963766372771
52	POLR2J	0.0105372925862962	0.930774892864071	0.956559986136434
53	DHX33	0.100175421925073	0.0643198753191825	0.137214132822438
54	THSD7A	0.194822777902816	0.414089294985627	0.558736925425812
55	LIG3	0.119052052742291	0.0796632065384831	0.162512372417195
56	RPAP3	0.158907796321395	0.000178904057142089	0.000997969230059141
57	REXO5	0.154163438226154	0.251570550335947	0.388753733856982
58	CIAPIN1	0.0951344705651757	0.165900086436596	0.283683685666648
59	SPPL2B	-0.0564185796869083	0.492351942236939	0.631523719353308
60	MSL3	0.0884510492236395	0.375674778891385	0.519920060999632
61	CREBBP	0.163979855413727	1.22709688702457e-06	1.15018942011015e-05
62	GCFC2	-0.198292835510988	0.0416796378379038	0.0971306428586352
63	WDR54	-0.0207609085541998	0.895123282756558	0.933168100665011
64	CROT	-0.144992623213143	0.121708029483858	0.224477150102109
65	KMT2E	0.139506345005097	7.26595715779118e-05	0.000448518781658141
66	RHBDD2	-0.00650082863890463	0.952222746429954	0.971003757314472
67	IBTK	-0.0260871747982322	0.525146037608494	0.65962994399687
68	ZNF195	0.108657708554592	0.219259864313724	0.350778942823945
69	MYCBP2	-0.125628067923741	0.00170503839873537	0.00700531058754057
