gene	log2FC	p_val	p_val_adj
1	TSPAN6	0.262901898012692	0.00261580255210921	0.00962689613903611
2	DPM1	0.223211656272587	4.77461993775856e-05	0.000325362658956099
3	SCYL3	0.0755980163614609	0.469767843736044	0.600805912245491
4	FIRRM	0.0401586029711397	0.483254597058181	0.612812086141825
5	FUCA2	0.101443883222905	0.0194207342715366	0.0502580859041265
6	GCLC	-0.389170849926136	1.81801785618834e-10	5.04082553033445e-09
7	NFYA	-0.0573436125504417	0.300765380583135	0.435752988744081
8	STPG1	0.193093064545189	0.01594277513458	0.0425963674871558
9	NIPAL3	-0.0109862492023052	0.84357119891328	0.901104970395244
10	LAS1L	0.0378606098233393	0.513022302835791	0.639820930524638
11	ANKIB1	0.0840105089363621	0.00816556994987179	0.0244629492241335
12	CYP51A1	0.133802094755306	0.0309577156679728	0.0737246738815066
13	KRIT1	0.102890514867237	0.00263994711476572	0.00970689620784461
14	RAD52	-0.0739605304310117	0.374410314949193	0.510149895096249
15	BAD	0.050900185226339	0.43753328286847	0.571923451412518
16	LAP3	0.0225377211591645	0.647849535874242	0.753824708855276
17	HS3ST1	0.112067811705752	0.302863390478263	0.437917013583643
18	MAD1L1	-0.15300711738576	1.2970007562281e-05	0.000105596263816054
19	LASP1	0.0559471588731877	0.107398583673387	0.196220407790561
20	SNX11	0.222129098700364	0.0216024015760604	0.0548333728935544
21	M6PR	0.100639010571132	0.019656926536285	0.0507967509564626
22	KLHL13	0.293623949625946	0.000610889491100891	0.0028218265528158
23	ALS2	-0.194630078114508	1.58904150983632e-05	0.000126344492834023
24	CFLAR	0.143657252017365	0.0620486597569589	0.127878378713694
25	TFPI	-0.0484147476049732	0.703434698905618	0.798499398684613
26	NDUFAF7	-0.0552352375798699	0.283077649798625	0.416963135338293
27	RBM5	0.0262554021804605	0.573394984337198	0.692008670304353
28	SLC7A2	-0.0257741803060203	0.853024369174721	0.90659340029176
29	ARF5	0.313602966057255	0.000877809232955977	0.00384404051289223
30	POLDIP2	0.116140681884757	0.131463643176594	0.230130188063521
31	PLXND1	-0.464370927116874	1.22284396580344e-05	9.99330155211853e-05
32	AK2	-0.0146878410226922	0.701082103070562	0.796327868980451
33	FKBP4	0.163902697261209	0.0152875487688538	0.0411288038536317
34	KDM1A	0.29811313708563	0.000109151105346198	0.00065653755617478
35	RBM6	-0.03238143046158	0.36082136261805	0.495924050366159
36	CAMKK1	-0.319051682187774	7.07918500213624e-08	1.04685254133631e-06
37	RECQL	0.232609268299084	9.52099757688095e-05	0.00058432367398712
38	VPS50	0.0121446392291277	0.798371002566493	0.871059468670469
39	ARHGAP33	-0.301186033751786	0.0189327407854924	0.0492650130709879
40	NDUFAB1	0.246755082832001	0.00550255291881411	0.0177049282636443
41	SLC25A13	-0.0536341897300216	0.129104787657272	0.226779199260362
42	ST7	0.0210791043751931	0.496200368225506	0.625153796481167
43	CDC27	0.115594347505334	0.000117125957359281	0.000696412489353403
44	HCCS	-0.038580105658058	0.615916777845708	0.728761099325605
45	DVL2	-0.0661218664309726	0.39316003302581	0.528996380880365
