gene	log2FC	p_val	p_val_adj
9094	LINC01505	1.13415292318641	0.0446531370706278	0.565045093412587
7998	NTF3	1.04598666443329	0.146028401524002	0.734255212460133
893	APBB1IP	0.970945803356183	0.018348600904535	0.449054236563457
5749	RBPMS	0.949344900500784	0.00531038388544899	0.336415264617625
8940	TENM3	0.898571417835088	0.061225709674058	0.614556173784255
8227	KAZN	0.853495414905171	0.0798517948379645	0.656154656246606
2819	DNAJC6	0.788648941399903	0.000705399183310439	0.200689902830931
9477	LINC01224	0.701158991861169	0.0544089209601831	0.594205908236911
4466	CDK15	0.694934426393283	0.0251260242805057	0.479134085084938
9559	ENSG00000276850	0.683841887474243	0.0474441029869618	0.581552723860298
8419	ADARB1	0.68117603710214	0.00067018543855327	0.200689902830931
8791	DPF3	0.638073311980445	0.259357927169321	0.814837256056334
8620	TOX	0.63538920899736	0.0112961596417152	0.411696365069403
6943	TMEM154	0.624300023641002	0.0652102047384218	0.627396318036222
6112	INHBB	0.597508168762516	0.154103721830613	0.742906272259025
4645	ADAMTS17	0.590594573405578	0.0653121436821183	0.627396318036222
9479	SLC25A53	0.586001007420899	0.0259657991533415	0.479134085084938
3816	TNS4	0.575160259898082	0.182522804022137	0.768326399839954
6974	FOS	0.563547548783526	0.0562629595735121	0.597958725767168
393	CELF2	0.563025588595971	0.0735331584826911	0.64580430071757
8272	ASB13	0.56093528159724	2.93980920687328e-05	0.0635876645788333
9686	ENSG00000291054	0.558244295675194	0.0207502849812215	0.463936295292559
1774	HOMER2	0.555847968231436	0.000826221864293973	0.207234817120931
267	SLAMF7	0.548563156078564	0.296316913755885	0.834367522210141
916	EDN1	0.541321589726719	0.0106553813407643	0.398798137796067
5718	RAB11FIP1	0.533975781968412	0.0392883257713017	0.541522235241554
1772	CEMIP	0.527232882006399	0.301542219236818	0.836009619918895
7976	TARS3	0.52649085724373	0.0160689624974731	0.439646790583862
8499	NUP62CL	0.524368033884109	0.0627726181142907	0.618677184912801
2230	AREG	0.523263997154354	0.16954278277665	0.759935890925648
1674	NALCN	0.520048460086212	0.0267745197036144	0.484280392631732
9385	FRMD6-AS2	0.515141704226525	6.36475999263466e-05	0.088479256411897
9118	MYO16-AS1	0.511771165037841	0.0153167790524685	0.439646790583862
7835	BCOR	0.510748359496585	0.000646511409422757	0.200689902830931
911	TIGAR	0.5090464044703	2.82044710370683e-06	0.0137228853830856
9362	SLCO1B3-SLCO1B7	0.506989991148755	0.30500128521896	0.83921479405829
2407	SLCO1B3	0.503975993298757	0.336974967932993	0.851948771997877
5378	THRB	0.502741423406029	0.0520746711626906	0.594205908236911
5540	CCDC148	0.50058460340268	0.0375109849423151	0.529781414330433
4176	DOCK10	0.499899579959111	0.0511547396211026	0.59065080162603
1902	MRPL4	0.497702187782274	0.00100092862035595	0.207234817120931
7620	CDH4	0.491263799266312	0.00657610477785659	0.357313417794681
3033	RHOQ	0.490277870082144	0.000258804274935124	0.127565212466204
