gene	log2FC	p_val	p_val_adj
1	TSPAN6	0.118396791308995	0.24825213930034	0.357190506787683
2	DPM1	-0.131587065519355	0.00549187440119278	0.0161912543025457
3	SCYL3	0.0775910152181626	0.311565238700954	0.425968248334968
4	FIRRM	0.339727009193847	5.25212146710097e-11	1.19889542646512e-09
5	CFH	0.308083331303609	3.62089532451898e-07	3.75621035683279e-06
6	FUCA2	0.000196189750778106	0.99686918715236	0.997765294092469
7	GCLC	0.31628029230521	2.22181434581737e-05	0.000143873011979369
8	NFYA	0.167652744401815	0.000816367421471852	0.00318442448390651
9	STPG1	0.157743370687452	0.0445282383018837	0.0908793230189769
10	NIPAL3	-0.0638164070127669	0.26148010494224	0.371989229362036
11	LAS1L	0.00355243752038237	0.947252585070703	0.965167072190495
12	ENPP4	0.459106022063045	0.000224852378433856	0.0010623506290833
13	ANKIB1	0.0316503320137843	0.334054906608605	0.44891567911021
14	CYP51A1	-0.175049147831366	0.000477895281252684	0.00201409176217108
15	KRIT1	0.121853550466385	0.00158643085660532	0.00566286913263022
16	RAD52	0.37849527970483	1.05561047311612e-07	1.24450265307019e-06
17	BAD	-0.243044064910703	0.000808929590582222	0.00316034441607191
18	LAP3	-0.273323939492476	3.39613578061005e-06	2.73562428567881e-05
19	HS3ST1	-0.426875961028339	0.00205215823268766	0.00705477792444701
20	HECW1	0.469874756382655	3.21589054642286e-06	2.6094282725266e-05
21	MAD1L1	0.0986719462743671	0.010165049271171	0.0269267667846694
22	LASP1	-0.051385929303195	0.076231814348514	0.140277393701951
23	SNX11	-0.265120956262377	0.00158680136956648	0.00566286913263022
24	M6PR	0.111450759644878	0.0517995145675285	0.10275302929993
25	ICA1	0.106020826709285	0.344259943356523	0.459181271446255
26	ALS2	0.0191945672575528	0.707490096764231	0.788802654614415
27	CFLAR	-0.00769116103704609	0.891999405590287	0.926100916226716
28	TFPI	0.232672903125017	6.70356754871804e-09	1.03031365652919e-07
29	NDUFAF7	-0.116816704891019	0.171041528383691	0.266481212054254
30	RBM5	-0.045302674979348	0.18809844185732	0.287162474992719
31	SLC7A2	0.0679591184037754	0.456465852164401	0.567453703577654
32	ARF5	-0.166975453954708	0.0869538308036577	0.156130503222264
33	POLDIP2	-0.17348109405945	0.00822171412442536	0.0225478372306696
34	PLXND1	-0.155794411366121	0.0349814138199716	0.0747598097440682
35	AK2	-0.0124636360815102	0.773398104721637	0.839677400586731
36	FKBP4	-0.0816491176939314	0.179593931623393	0.27739068877898
37	KDM1A	-0.106939727618013	0.0204284255679431	0.0480547541352952
38	RBM6	0.113066973694875	0.000156671148942332	0.000781589310772211
39	RECQL	0.127713869307768	0.00863736583046459	0.0234328493716814
40	VPS50	0.168875228867603	0.0006282918425444	0.00253977916665487
41	ARHGAP33	0.425022542360306	8.35126093664375e-06	6.0819757155601e-05
42	NDUFAB1	0.00366348301995191	0.956083333383933	0.971497777716528
43	PDK4	0.338686086391683	0.0138992128142324	0.0349272327349529
44	SLC25A13	0.110392030080969	0.00761383798538113	0.0210826942391557
45	ST7	0.127952528244492	0.00261984054668049	0.00867881722918519
46	CDC27	0.0140835614533492	0.621010239890547	0.715221654286079
47	HCCS	-0.0734627096323092	0.235510222612343	0.342897532978404
48	DVL2	0.147911813290146	0.0172318980651222	0.0417506891950168
49	UPF1	-0.0122047143320077	0.785773565516486	0.848260498896369
50	SKAP2	-0.00172239113702492	0.97642686215013	0.983630113042065
51	SLC25A5	0.0474045412705027	0.284390837465392	0.396367257613449
52	MCUB	0.178478226711522	0.00509727064284061	0.0151752076981301
53	POLR2J	-0.108785294196772	0.225833844443986	0.331781403778504
54	DHX33	-0.0525546480638281	0.386968546953136	0.501497696385101
55	LIG3	0.0451673419855344	0.513570063447112	0.619834470167832
