gene	log2FC	p_val	p_val_adj
1	TSPAN6	-0.114929818000906	0.394256673291056	0.601068317362366
2	DPM1	0.131343823127739	0.0197249020399688	0.0770887747330615
3	SCYL3	-0.0081850128343315	0.936093250517979	0.969311734975182
4	FIRRM	-0.401443742429936	5.06004346770217e-10	1.85594921150154e-08
5	CFH	-0.249015296941547	0.000290562076038999	0.00264842922630789
6	FUCA2	0.020987377755112	0.740373711208575	0.863290198891645
7	GCLC	-0.0604515413906446	0.536416084494583	0.720865882295514
8	NFYA	-0.147381491395779	0.0157499175968034	0.0649099905111581
9	STPG1	-0.284439924347632	0.00694079120897886	0.0345515820443388
10	NIPAL3	0.0194023193357552	0.76510142186253	0.876757621525843
11	LAS1L	-0.0203190972770035	0.761208202900044	0.875086623118828
12	ENPP4	-0.390221628275159	0.00757192414416695	0.0367387114261306
13	SEMA3F	0.375704665713367	0.0564783787060051	0.166487240799082
14	ANKIB1	-0.0724603916351293	0.0876144084172762	0.22744946072999
15	CYP51A1	0.0669147938287593	0.262258133666511	0.471360421088418
16	KRIT1	-0.0895311464002597	0.0699025537110747	0.192965782430745
17	RAD52	-0.30968777912821	5.1094932509287e-05	0.000609137119217476
18	BAD	0.27132016534512	0.00212906601384919	0.0133725565177379
19	LAP3	0.290453787572622	4.35708749090951e-05	0.000530247525865231
20	HS3ST1	0.185868450112129	0.280300744024194	0.492632326297503
21	HECW1	-0.50620126750072	3.62934055636565e-05	0.000451473780683351
22	MAD1L1	-0.00864708142790637	0.852440131173191	0.92657623727894
23	LASP1	-0.000343255085574533	0.992417631835019	0.997198375237392
24	SNX11	0.266524534638823	0.0490142048627178	0.14998535671431
25	M6PR	-0.00996220228158171	0.891988122152258	0.947774698788729
26	ICA1	0.00632764645556251	0.960885255864894	0.980925769745943
27	ALS2	-0.0502574087477994	0.413305324720495	0.618469348035329
28	CFLAR	0.0136453486629924	0.842806052152967	0.920692334037106
29	TFPI	-0.378333131491492	7.82768964390805e-15	6.12489152348327e-13
30	NDUFAF7	-0.0262311465921746	0.798191773033494	0.895950600472285
31	RBM5	0.143366072012271	0.000456043710587711	0.00387097148077927
32	SLC7A2	-0.0790635371928447	0.476598944991568	0.673509050513891
33	ARF5	0.326691292623161	0.0230703507812693	0.0864826813531321
34	SARM1	-0.0201733609179621	0.891173197149131	0.94726116162824
35	POLDIP2	0.266675863540602	0.00642371731952758	0.0323985125452887
36	PLXND1	0.387856741228515	3.8637968719023e-05	0.000477007189374516
37	AK2	-0.0030907961781715	0.956891197725456	0.978530440543987
38	FKBP4	-0.019733705597095	0.811286629445983	0.903317540813139
39	KDM1A	0.101185263065581	0.0977043505349307	0.245037031186991
40	RBM6	-0.070811054480622	0.0606788764747123	0.175117661431306
41	CAMKK1	0.302904586512351	0.101532758526688	0.251034514271182
42	RECQL	-0.039917384315412	0.45625581410616	0.656835754150498
43	VPS50	-0.104372748166047	0.0973279184962146	0.244220980671057
44	ARHGAP33	-0.466862261078245	0.000775372837176521	0.00593331101506083
45	NDUFAB1	-0.10369636396971	0.280486501000764	0.492802895733633
46	PDK4	0.125354558456454	0.442660157941702	0.646222180382374
47	SLC25A13	-0.0934907254397752	0.0756761103913345	0.204782577340019
