gene	log2FC	p_val	p_val_adj
1	TSPAN6	-0.0310573697922135	0.849080388680786	0.933554767538373
2	DPM1	-0.0890949081842652	0.0459560624141375	0.185748737729728
3	SCYL3	-0.0487268132004418	0.682571630561825	0.842023741580932
4	FIRRM	0.0459503155430771	0.561010074348748	0.76926716850978
5	CFH	0.0462420288004999	0.797106060525007	0.90573798564111
6	FUCA2	0.147595732109316	0.0385814562737703	0.165299260253917
7	GCLC	0.166047736743081	0.19679369381987	0.438743774327789
8	NFYA	0.198310268712979	0.0060753184787989	0.0488650615918208
9	STPG1	0.199352194739209	0.165954426359407	0.398688393724466
10	NIPAL3	-0.173214907729692	0.0884983252892662	0.27761256178613
11	LAS1L	0.00741688463030509	0.917360873972797	0.966352287293261
12	ENPP4	0.0391184253176286	0.858349714889182	0.937493443839568
13	SEMA3F	-0.517867695813512	0.0549244214869469	0.208496784260719
14	ANKIB1	0.00292707284544672	0.97192896869478	0.988428055577989
15	CYP51A1	-0.301066389474055	0.00202013976387613	0.0237942789815195
16	KRIT1	-0.0358707140166836	0.672710985976665	0.836357519747222
17	RAD52	0.0347703917195758	0.508077005951771	0.73151860635929
18	BAD	0.143749036908312	0.15736013165973	0.386868399155903
19	LAP3	-0.101888852713589	0.245771293833479	0.494579144193085
20	HS3ST1	0.149152058936984	0.520127041274921	0.740178058464133
21	HECW1	0.0783143061630449	0.657912392343403	0.827115974144296
22	MAD1L1	-0.0772396292082428	0.437072146997816	0.675662459221536
23	LASP1	0.0736689189602523	0.394328594055834	0.640551154239706
24	SNX11	-0.181541101709134	0.083909506385025	0.269877412699013
25	M6PR	0.128131414909031	0.147009347425388	0.372419827393652
26	ICA1	-0.30083729876272	0.185843201065653	0.424673171457704
27	ALS2	-0.281225537834701	0.0564356095954964	0.211765584745664
28	CFLAR	-0.223974550818733	0.0301164901106154	0.141425541954794
29	TFPI	-0.0482427856231771	0.66392442456219	0.830539837823123
30	NDUFAF7	-0.0152571563371221	0.834840144506438	0.924604086945932
31	RBM5	-0.102887756016774	0.112862205778728	0.322941430973774
32	SLC7A2	-0.066809591043419	0.705913645156204	0.85648387043508
33	ARF5	0.215796063442488	0.0699896638665019	0.241019272204458
34	SARM1	-0.264322764641065	0.0130856770825194	0.0804749840166269
35	POLDIP2	-0.105943414673058	0.295020986645611	0.548698400264221
36	PLXND1	-0.318594470718339	0.0749037299554328	0.252276730551028
37	AK2	0.123358564378863	0.220880177469567	0.466032752232271
38	FKBP4	-0.168237875334289	0.155504086627397	0.384768430997434
39	KDM1A	-0.133374926135604	0.121192735438922	0.335386855086654
40	RBM6	-0.0242956161064939	0.741381688589897	0.87541489826247
41	RECQL	0.121536322619767	0.0340444063212966	0.153075034606706
42	VPS50	0.113207601370811	0.25251341903005	0.5030001681577
43	ARHGAP33	0.235851238182218	0.0962384333049938	0.291964327349027
44	NDUFAB1	0.10307997711382	0.125782091490238	0.344134520129721
45	PDK4	0.310032437687834	0.368308865775103	0.61817064452652
46	SLC25A13	0.0227569855657738	0.797840311309232	0.906055932572986
47	ST7	0.171918306996518	0.00361216094051978	0.0350914870866526
48	CDC27	0.0201803300783438	0.681808462738587	0.841585007631367
49	HCCS	0.0577545020687074	0.551302582900729	0.76237438633022
50	DVL2	0.0159992419179821	0.882629770834592	0.949879489074931
51	UPF1	-0.0276260402405555	0.745126188574216	0.877450902586718
52	SKAP2	0.023332562333616	0.804998553463411	0.909330832390832
53	SLC25A5	0.30788095900814	0.0172172470925581	0.0965425409859199
54	MCUB	0.144806631552236	0.00633353124752232	0.0505765281431469
55	POLR2J	0.108886794136662	0.209821308442087	0.453488973502034
56	DHX33	-0.113421615084614	0.255751963249895	0.506354884124768
57	LIG3	0.181158357742475	0.0692530136456565	0.239665301079931
58	RPAP3	0.0941466505449315	0.140283508066566	0.364479534233593
59	REXO5	0.0433058868813665	0.733773528036665	0.871168024630319
60	CIAPIN1	-0.0931739689878929	0.123995300616522	0.340676598214714
61	SPPL2B	0.147281592591844	0.101743754576854	0.301814711926331
62	MSL3	0.10964938566823	0.0597956453389158	0.218781961043474
63	CREBBP	0.0830920835006275	0.0360836779073514	0.15870728207014
64	GCFC2	0.273111230376724	0.00145193999270036	0.0187314634701838
65	CROT	-0.0115416718362564	0.926207768905947	0.970916108515244
66	KMT2E	0.0159919724999855	0.786661376599053	0.900127133882385
67	RHBDD2	0.10546480943439	0.497364547622088	0.722682063848278
68	IBTK	-0.0526684209916968	0.472950502268488	0.70298531807311
69	ZNF195	-0.00374646303965308	0.942131979942506	0.977289656574851
70	MYCBP2	0.00436677304515316	0.939676122309229	0.976534713101205
71	FBXL3	0.000860530109272745	0.985291794660099	0.992816014261659
72	PDK2	0.346551149779834	0.0258146540066259	0.127279922371913
73	ITGA3	0.0503383631648426	0.594626669489899	0.791205766396352
74	ZFX	-0.0465820639997287	0.704312530441006	0.855831072134962
75	LAMP2	0.335674457412381	0.0114621788300428	0.0735725074657426
76	GDE1	0.0269848572813571	0.754396932384854	0.881290501930462
77	OSBPL7	-0.213584500926352	0.19285938673163	0.434110612673399
78	MAP3K14	0.0341069347074902	0.715783340337582	0.862082673561983
79	AP2B1	0.170341338946217	0.00118503710912143	0.0161053804765082
