pathway	pval	padj	log2err	ES	NES	size	leadingEdge	cellline
1	HALLMARK_MYC_TARGETS_V2	0.000656531131000879	0.00771424078926033	0.477270815362862	0.502207536998424	1.83102791055861	53	WDR74, MCM4, RCL1, PPAN, MYC, NOLC1, PA2G4, SUPV3L1, DCTPP1, PES1, MYBBP1A, GRWD1, PUS1, BYSL, NIP7, WDR43, TMEM97, TFB2M, FARSA, PLK4, PRMT3, MPHOSPH10, SRM, IPO4, SLC29A2, LAS1L, CDK4, PHB1, MRTO4, NPM1, PLK1, NOP2, NDUFAF4, CBX3	MDA-MB-231
2	HALLMARK_MYC_TARGETS_V1	0.00023854197584566	0.00743798123227188	0.518848077743792	0.359054195600429	1.63260876053093	198	MCM4, ODC1, PPM1G, DDX21, FBL, MYC, HDDC2, PCBP1, ABCE1, NOLC1, PGK1, RPS5, GOT2, HPRT1, RFC4, PA2G4, VBP1, EXOSC7, TRIM28, CTPS1, SNRPG, CNBP, XPOT, SERBP1, NCBP1, CDK2, EPRS1, SRSF3, LSM7, PABPC1, ERH, RSL1D1, PSMD3, CAD, SNRPD2, C1QBP, LDHA, KARS1, IARS1, PABPC4, CCNA2, HNRNPA1, RANBP1, EIF2S1, SYNCRIP, EIF4G2, SRSF7, CDC20, CCT4, RPL22, CCT3, NAP1L1, PHB2, EIF3J, TYMS, PSMA1, XPO1, HSP90AB1, HNRNPD, EIF4A1, EIF2S2, EEF1B2, MAD2L1, KPNB1, DEK, DUT, COX5A, RPS10, CCT2, RPS2, TCP1, IFRD1, HNRNPU, CCT7, SET, EIF4E, LSM2, YWHAQ, SRM, TRA2B, SLC25A3, PTGES3, CDK4, SRPK1, PHB1, RPL14, MCM7, UBA2, SRSF2, RAD23B, NPM1, HDAC2, POLE3, RPS6, MCM6, CBX3, PRPF31, XRCC6, TOMM70, BUB3, VDAC1, SNRPD1, SRSF1, SF3B3, NME1, RUVBL2, EIF3D, GLO1, EIF3B, GNL3, COPS5, PCNA, CDC45, FAM120A, PSMD7, HNRNPR, PSMA4	MDA-MB-231
3	HALLMARK_HYPOXIA	0.00465758150767638	0.043781266172158	0.279865652661932	0.354827322127994	1.5245492924522	132	FOS, ANKZF1, NOCT, TPST2, DUSP1, SCARB1, BNIP3L, COL5A1, ANGPTL4, F3, SIAH2, VLDLR, PLAC8, DDIT3, KLF7, DTNA, SDC4, CSRP2, PGK1, STC1, CCN1, PGM2, CDKN1B, MAP3K1, ADM, TPD52, KLF6, TPBG, CCN2, MXI1, ERO1A, CAVIN1, FOXO3, ERRFI1, DDIT4	MDA-MB-231
4	HALLMARK_ESTROGEN_RESPONSE_EARLY	0.00912063328170711	0.0640944619990022	0.198584486969905	0.350352369611909	1.48330198625871	120	KAZN, INHBB, FOS, ASB13, AREG, NHERF1, SCARB1, KLF4, SIAH2, FKBP5, PAPSS2, PPIF, MYC, ADCY9, DLC1, UGCG, FOXC1, ZNF185, ALDH3B1, RBBP8, RAB31, FKBP4, SLC39A6, SLC7A2, MYBL1, CELSR1, SLC7A5	MDA-MB-231
5	HALLMARK_KRAS_SIGNALING_DN	0.0691835260115607	0.250125055580258	0.0723419514602353	0.417279390945917	1.39877816632573	35	NTF3, EDN1, THRB, BMPR1B, TGFB2	MDA-MB-231
6	HALLMARK_UV_RESPONSE_DN	0.0295990363104457	0.139115470659095	0.109215847765851	0.327633989832839	1.38061845274482	116	RBPMS, CELF2, DUSP1, EFEMP1, DDAH1, F3, VLDLR, MYC, DLC1, CCN1, CDKN1B, RND3, CAP2, SLC7A1, ADGRL2, DMAC2L, MIOS, ERBB2, FYN, AKT3, GRK5, SMAD3, PMP22, ANXA4, NFIB, AGGF1, YTHDC1, SYNJ2, ATRX, ABCC1, IGF1R, CDC42BPA, DLG1, GCNT1, SFMBT1, PRKCE, WDR37	MDA-MB-231
7	HALLMARK_ESTROGEN_RESPONSE_LATE	0.106170286108239	0.311875215442951	0.0563335007829073	0.30031504631092	1.24356577417256	105	FOS, HOMER2, AREG, NHERF1, GINS2, SCARB1, KLF4, CKB, SIAH2, FKBP5, PAPSS2, PPIF, FOXC1, ALDH3B1, RBBP8, RAB31, FKBP4, HPRT1, SLC7A5, TPBG, EMP2, DNAJC1, FABP5	MDA-MB-231
8	HALLMARK_E2F_TARGETS	0.0775627970128989	0.260389389971875	0.0659642175442741	0.271229159714921	1.23269282172193	195	HMGB2, MCM4, MTHFD2, SMC6, MYC, NOLC1, CDKN1B, RFC3, PRPS1, MCM3, PA2G4, POLE, DCTPP1, CDCA3, CTPS1, MSH2, PAN2, WDR90, PMS2, CDKN3, PRKDC, AURKB, RFC1, CSE1L, SUV39H1, PHF5A, PRIM2, NUP153, RRM2, SLBP, NUDT21, KIF4A, PSMC3IP, RANBP1, EIF2S1, NAA38, LUC7L3, SYNCRIP, CNOT9, CDC20, NAP1L1, DNMT1, ILF3, SSRP1, HELLS, RAD51AP1, XPO1, EZH2, HNRNPD, NBN, WEE1, MAD2L1, PLK4, DEK, AURKA, LYAR, CDC25A, CTCF, DUT, GINS1, RAD51C, DIAPH3, SPAG5, IPO7, PAICS, TK1, CCP110, TRA2B, UBE2T, LBR, UBR7, CDK4, CKS2, MMS22L, BUB1B, ATAD2, MCM7, SRSF2, JPT1, NUP107, UBE2S	MDA-MB-231
9	HALLMARK_WNT_BETA_CATENIN_SIGNALING	0.298507462686567	0.584577114427861	0.0323432834054615	0.364088165351722	1.11995419480752	24	PPARD, MYC, GNAI1, PTCH1, CSNK1E, PSEN2, AXIN1, ADAM17	MDA-MB-231
10	HALLMARK_OXIDATIVE_PHOSPHORYLATION	0.469342818428184	0.722249380316197	0.0233052491422641	0.219395868743659	0.992457259758487	188	TIMM50, NDUFA2, ATP6V1H, IDH3A, ATP6AP1, AIFM1, PDHA1, MRPL11, POLR2F, BAX, GOT2, ETFA, MRPS11, SDHC, AFG3L2, SUPV3L1, IDH3G, ISCA1, NDUFS7, NDUFS2, NDUFC1, COX6A1, LRPPRC, NDUFA3, HADHB, COX17, MRPL35, NDUFS3, COX10, ECI1, ALDH6A1, NDUFA6, PHYH, TOMM22, FH, LDHA, PMPCA, ATP6V1E1, IDH3B, HADHA, FXN, SLC25A5, NDUFV1, TIMM17A, COX7C, CS, PHB2, UQCR11, NDUFB7, ATP6V1G1, ATP5F1C, GRPEL1, UQCRC2, SUCLA2, ATP5MC1, UQCRC1, TIMM9, ECHS1, NDUFB6, COX5A	MDA-MB-231
