pathway	pval	padj	log2err	ES	NES	size	leadingEdge	cellline
1	HALLMARK_KRAS_SIGNALING_UP	0.00508876325303958	0.011958593644643	0.407017918923954	0.410211285760869	1.62950876807402	81	G0S2, AKAP12, LIF, DOCK2, MMD, IGFBP3, ETV1, KCNN4, LAPTM5, ATG10, ETV4, ANKH, CFH, PLEK2, CROT, EMP1, H2BC3, ITGBL1, DCBLD2, TMEM158, SPRY2, CDADC1, TFPI, BTBD3, ITGA2, PTCD2, SDCCAG8, DNMBP, USP12, CAB39L, GFPT2, ETV5, NRP1, GLRX, DUSP6, HBEGF	MDA-MB-231
2	HALLMARK_E2F_TARGETS	0.00101467650095864	0.00264943308583645	0.45505986738723	0.343290144530634	1.56206136704684	197	GINS4, PAN2, BARD1, RAD51AP1, HELLS, ING3, UBR7, KIF18B, SPC25, AURKB, POLE, CIT, POLA2, CDK4, CDC25A, E2F8, MMS22L, UNG, CDK1, PLK4, CENPM, TIMELESS, POLD1, DCK, CDC25B, DIAPH3, PPM1D, BRCA2, HMGA1, POLD3, CNOT9, ESPL1, BRCA1, DCLRE1B, RFC3, LIG1, RRM2, DSCC1, PCNA, NUP107, PRIM2, EXOSC8, STAG1, DNMT1, ORC6, ASF1B, HUS1, KIF4A, EZH2, UBE2T, EED, GINS3, TOP2A, MSH2, DUT, PSIP1, PRKDC, MYBL2, ATAD2, TUBG1, RNASEH2A, RPA1, CTPS1, WDR90, PA2G4, SMC4, MLH1, SRSF1, TCF19, GINS1, MRE11, MELK, H2AX, LMNB1, RBBP7, MCM3, NAA38	MDA-MB-231
3	HALLMARK_G2M_CHECKPOINT	0.301345291479821	0.404663677130045	0.0366208603945354	0.234240883511002	1.06396199932056	194	POLQ, EXO1, H2BC12, TROAP, RAD54L, CDC45, BARD1, MEIS2, CHAF1A, AURKB, POLE, FBXO5, POLA2, CDK4, KIF15, CDC25A, RPS6KA5, CDK1, PLK4, WRN, RBL1, MT2A, CDC25B, KMT5A, CDC6, BRCA2, HMGA1, ESPL1, ORC5, FOXN3, PRIM2, STAG1, ORC6, HUS1, KIF4A, EZH2, TOP2A, NSD2, TRAIP, DTYMK, EFNA5, MYBL2, SLC12A2, SRSF10, TNPO2, MNAT1, FANCC	MDA-MB-231
4	HALLMARK_UV_RESPONSE_DN	0.354488154748968	0.461788860683888	0.032686317971351	0.24705439451028	1.04581198711974	117	MMP16, KCNMA1, ARHGEF9, MAGI2, LTBP1, PRKCA, TGFBR2, SIPA1L1, MT1E, DLC1, PTPRM, PLPP3, RASA2, ID1, MAP2K5, LPAR1, PRKCE, BCKDHB, TFPI, PIAS3	MDA-MB-231
5	HALLMARK_KRAS_SIGNALING_DN	0.548413679439637	0.61370102223007	0.023956252782659	0.270145300308277	0.937181139369423	40	SLC16A7, MSH5, PLAG1, BARD1, NTF3, C5, CDKAL1, TENT5C	MDA-MB-231
6	HALLMARK_DNA_REPAIR	0.694829482948295	0.742204220422042	0.0212380808461584	0.210359799134319	0.905010722127449	130	AAAS, TK2, PRIM1, TAF10, ERCC1, RAD52, DGCR8, XPC, PDE4B, BCAM, POLA2, TAF1C, POLA1, POLD1, GSDME, POLD3, MPG, RFC3, LIG1, ADCY6, DDB2, PCNA, ERCC2, POLR3GL, ERCC8, DCTN4, DUT, NFX1, REV3L, VPS28, NELFCD, RAD51, RAE1, HPRT1, FEN1	MDA-MB-231
7	HALLMARK_SPERMATOGENESIS	0.9643886372993	0.985353607675372	0.0153682545384594	0.183708257548366	0.676702328937014	53	CAMK4, NCAPH, CLGN, CDK1, PARP2, HSPA4L, EZH2, MTOR, ARL4A, SLC12A2, TOPBP1, LPIN1, PGS1, RPL39L, IFT88, MLLT10, RFC4	MDA-MB-231
8	HALLMARK_MITOTIC_SPINDLE	0.999818676337262	0.999818676337262	0.0130145161321162	-0.133207581419065	-0.586058690859683	193	NEDD9, MYO1E, FGD4, AURKA, NEK2, MYH10, PLK1, MAP3K11, CLIP2, ARHGAP27, RHOF, BCL2L11, NCK2, CENPF, CDC42EP4, GSN, PRC1, SPTAN1, CD2AP, PALLD, DYNLL2, KIF3C, SPTBN1, CKAP5, KIF1B, KIF23, MAPRE1, KIF2C, FLNB, MARCKS, CCNB2, ROCK1, ARL8A, CDC42, RALBP1, TSC1, CAPZB, ITSN1	MDA-MB-231
9	HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	0.950242013552759	0.985353607675372	0.0146967181178796	-0.194302907062866	-0.654461746045294	41	SOD1, HMOX2, LAMTOR5, SELENOS, PRDX1, PTPA, EGLN2, GPX4, NDUFS2, OXSR1, PRDX4, PRDX6, STK25, SOD2, TXNRD1, SCAF4	MDA-MB-231
10	HALLMARK_PI3K_AKT_MTOR_SIGNALING	0.561479256617233	0.613709885139766	0.0220877147325811	-0.240893058421695	-0.940776639996302	86	PDK1, PIK3R3, SFN, SQSTM1, GRK2, NFKBIB, RIT1, TRAF2, MAP2K3, MKNK2, RPS6KA1, CDKN1A, RPS6KA3, AKT1, PLA2G12A, NOD1, PPP1CA, CALR	MDA-MB-231
11	HALLMARK_TGF_BETA_SIGNALING	0.531401905502625	0.609168038015204	0.0235283272805169	-0.27782936714847	-0.94887092089183	44	FURIN, IFNGR2, CDK9, TGIF1, BMPR2, SMAD3, ARID4B, TGFB1, PPP1CA, KLF10, PPP1R15A	MDA-MB-231
12	HALLMARK_COAGULATION	0.5236328125	0.609168038015204	0.0238402778825044	-0.271975629929129	-0.953680287366932	50	USP11, BMP1, FURIN, MAFF, F3, GNB2, PLAT, LRP1, FN1, GSN, PEF1, PRSS23	MDA-MB-231
13	HALLMARK_APICAL_SURFACE	0.485853658536585	0.585515947467167	0.0250585821132715	-0.327319745204571	-0.969389656837989	23	PCSK9, AFAP1L2, ATP8B1, FLOT2, CROCC, HSPB1, ADAM10, B4GALT1, LYN, GSTM3, SHROOM2	MDA-MB-231
14	HALLMARK_FATTY_ACID_METABOLISM	0.447567967449602	0.553570907108719	0.0255366610995517	-0.245680010095005	-0.999999005153675	109	SLC22A5, IDI1, HMGCS1, CRAT, PSME1, FASN, S100A10, BLVRA, IDH1, GLUL, ECI1, MIF, MCEE, HSPH1, DHCR24, ACAT2, UROD, PPARA, LDHA, UGDH, SDHA, D2HGDH, ECHS1, PDHB, EPHX1, HADHB, ENO2, RDH11, CBR1, ALDOA, HSP90AA1, MIX23, PDHA1, BMPR1B, OSTC, ECH1	MDA-MB-231
15	HALLMARK_XENOBIOTIC_METABOLISM	0.36353591160221	0.461788860683888	0.0290952264874256	-0.257808666490976	-1.04117348058296	103	SMOX, ETS2, CDA, UPP1, PYCR1, IL1R1, DDT, IDH1, BLVRB, MAN1A1, TGFB2, DHRS7, AKR1C3, GSTO1, TPST1, PAPSS2, POR, COMT, UGDH, DDAH2	MDA-MB-231
16	HALLMARK_NOTCH_SIGNALING	0.258215962441315	0.356945595139464	0.0370035891842464	-0.406433010714148	-1.17704195228293	21	HES1, ARRB1, FBXW11, TCF7L2, CCND1, NOTCH1, FZD7	MDA-MB-231
17	HALLMARK_WNT_BETA_CATENIN_SIGNALING	0.238170037306106	0.339211871314758	0.0388389802276081	-0.390472905508422	-1.17744516642324	25	MYC, WNT5B, AXIN1, PTCH1, NUMB, NOTCH1, TP53, ADAM17	MDA-MB-231
18	HALLMARK_OXIDATIVE_PHOSPHORYLATION	0.106239767145716	0.166442301861621	0.0579561436845735	-0.277269135414049	-1.21639227751155	189	ATP6V0B, MRPS15, IDH1, PHYH, MRPL11, COX7A2, ECI1, PMPCA, CASP7, ATP6V1F, TIMM8B, ATP6V1G1, NDUFS8, NDUFB2, ATP5PO, COX8A, ATP5PF, UQCRH, TIMM13, POR, LDHA, NDUFV2, OAT, NDUFB7, GRPEL1, SDHA, NDUFA8, ATP6V0E1, ECHS1, GPX4, PDHB, NDUFA2, NDUFB3, UQCR10, GPI, COX4I1, HADHB, SDHB, ATP5ME, HSPA9, SLC25A4, COX5B, NDUFS2, TIMM17A, PDP1, IDH3A, PDHA1, NDUFS3, UQCRFS1, COX7A2L, ATP5F1A, ECH1, MTRR, CYC1, MTRF1, MRPS12, ATP5MG, ATP5MF, ATP6V1E1, HSD17B10, PRDX3, CYB5A, COX6C, ATP5F1B, ATP5PB, OGDH	MDA-MB-231
19	HALLMARK_PEROXISOME	0.13119698397738	0.192695570216777	0.0527683194655535	-0.331996212647148	-1.25407931380802	71	PRDX5, IDI1, SOD1, CRAT, FDPS, IDH1, PEX6, TSPO, CDK7, DHCR24, PRDX1, SCP2, FIS1, VPS4B, BCL10, MVP, ITGB1BP1, CLN8, GSTK1, NUDT19, RDH11, SLC25A4, ABCD3, SLC35B2	MDA-MB-231
20	HALLMARK_HEME_METABOLISM	0.0911262171596546	0.152961864517992	0.0631855595077774	-0.302717967213045	-1.26332701586302	131	CCND3, SMOX, MXI1, MKRN1, OPTN, P4HA2, UCP2, BLVRA, RIOK3, BLVRB, MAP2K3, KLF3, YPEL5, ADD1, SEC14L1, SLC22A4, HTATIP2, UROD, ANK1, MFHAS1, CDR2, FOXO3, RANBP10, HDGF, HMBS, NR3C1, NFE2L1, MPP1, GAPVD1, MOSPD1, ADIPOR1, NEK7, BNIP3L	MDA-MB-231
21	HALLMARK_BILE_ACID_METABOLISM	0.129133242027001	0.192695570216777	0.0542941356227061	-0.365883891473886	-1.27764497092609	49	PRDX5, ABCA1, IDI1, OPTN, SOD1, PECR, IDH1, PHYH, PEX6, ABCA2, DHCR24, FADS2, SCP2	MDA-MB-231
