pathway	pval	padj	log2err	ES	NES	size	leadingEdge	cellline
1	HALLMARK_INTERFERON_GAMMA_RESPONSE	6.46649223914291e-28	3.03925135239717e-26	1.37274298193398	0.776233150610912	3.14037745007809	123	IFIT2, IFIT1, IFIT3, HERC6, IFI44, ISG15, DDX60, SAMD9L, RIGI, OAS2, APOL6, ZNFX1, ST8SIA4, IRF1, PARP14, HLA-B, TAP1, JAK2, LY6E, TDRD7, IL15RA, PARP12, SAMHD1, IRF2, OAS3, IL15, IRF9, TRIM26, WARS1, PSMB9, FAS, SLAMF7, CMKLR1, TXNIP, HLA-A, BST2, IFITM3, SP110, LATS2, XAF1, STAT2, SOCS3, BANK1, B2M, TAPBP, VAMP8, NMI, TRAFD1, ADAR, PIM1, PELI1, LAP3, NCOA3, HELZ2, CASP7, TRIM14, UPP1, PSME1	MDA-MB-231
2	HALLMARK_INTERFERON_ALPHA_RESPONSE	9.99454964517427e-19	2.34871916661595e-17	1.11466447751729	0.822650978341135	3.01688738668826	69	IFIT2, IFIT3, HERC6, IFI44, ISG15, DDX60, SAMD9L, SAMD9, TENT5A, IRF1, PARP14, TAP1, LY6E, TDRD7, PARP12, IRF2, IL15, IRF9, HLA-C, TRIM26, WARS1, PSMB9, TXNIP, BST2, IFITM3, SP110, STAT2, B2M, NMI, TRAFD1, ADAR, MVB12A, PROCR, LAP3, NUB1, HELZ2, TRIM14, PSME1, PARP9, ELF1, IFITM2	MDA-MB-231
3	HALLMARK_TNFA_SIGNALING_VIA_NFKB	4.08836744354722e-16	6.40510899489064e-15	1.03769615548758	0.665931787331168	2.7296566264498	133	IFIT2, HES1, RIGI, KLF4, IRF1, B4GALT5, BHLHE40, EGR1, TAP1, MAP3K8, BIRC3, IL15RA, KDM6B, SPSB1, RHOB, SERPINE1, TNIP1, MYC, RNF19B, KLF10, VEGFA, PPP1R15A, IER3, ZBTB10, KLF9, PHLDA2, TUBB2A, PANX1, SDC4, YRDC, SOCS3, TIPARP, BCL3, SAT1, CCNL1, FOSL2, PLAUR, SQSTM1, ZFP36, GADD45B, ABCA1, LITAF, DNAJB4, DUSP1, IER2, ETS2, MXD1, SMAD3, DUSP5, RCAN1, PFKFB3, DENND5A, TSC22D1, NFKBIA, MAP2K3, NFAT5, GEM, LDLR, BCL6	MDA-MB-231
4	HALLMARK_APOPTOSIS	3.4763518586458e-06	4.08471343390882e-05	0.627256739718528	0.531954527808821	2.12941825104217	115	PMAIP1, IRF1, NEDD9, TAP1, BIRC3, IGFBP6, RHOB, DDIT3, IER3, RARA, FAS, TXNIP, IFITM3, DNAJA1, SAT1, BCL10, SQSTM1, TGFBR3, GADD45B, SMAD7, PLAT, CASP7, HMGB2, BCL2L11, LGALS3, ADD1, PSEN1, LMNA, TIMP2, PEA15, IFNGR1, CYLD, TIMP1	MDA-MB-231
5	HALLMARK_IL6_JAK_STAT3_SIGNALING	0.00109693011466061	0.00525142888871621	0.45505986738723	0.598312749563419	2.00567921051792	42	IRF1, MAP3K8, IL15RA, IRF9, FAS, STAT2, SOCS3, IL1R1, PIM1, TGFB1, LTBR, BAK1, GRB2, MYD88, IFNGR1, CSF1, STAT1, STAT3, OSMR	MDA-MB-231
6	HALLMARK_HYPOXIA	3.15222717790443e-05	0.000295201474244302	0.557332238758646	0.465764536038851	1.92456534542173	142	BHLHE40, CITED2, LOX, SERPINE1, NOCT, DDIT3, VEGFA, PPP1R15A, IER3, KLHL24, ADM, CCNG2, DDIT4, SDC4, P4HA1, TIPARP, FOSL2, FAM162A, PLAUR, ZFP36, PIM1, KDELR3, DUSP1, GAA, KLF7, MXI1, PDK1, PFKFB3, ANGPTL4, P4HA2, HK1, AMPD3, PLAC8, COL5A1, FOXO3, PDK3, AK4, XPNPEP1, ERRFI1, NR3C1, GRHPR, PGM1, LDHA, HS3ST1, KLF6, PRDX5, FOS, ZNF292, ENO2, KDM3A, IGFBP1, CHST3, TPST2, HSPA5, WSB1, CAVIN3, SLC2A1, ALDOA, MIF, CAVIN1, STC1, STBD1, CCN1, NDRG1, JMJD6, NAGK, GCNT2, SCARB1, PLIN2, TPBG, CDKN1A, MAP3K1, PGK1, BNIP3L	MDA-MB-231
7	HALLMARK_IL2_STAT5_SIGNALING	5.62521119825659e-05	0.000377692751882942	0.557332238758646	0.475347863543914	1.91399783904092	119	CCND3, BHLHE40, MAP3K8, GABARAPL1, RHOB, XBP1, MYC, CD81, TTC39B, DHRS3, COL6A1, IFITM3, ECM1, SCN9A, P4HA1, CAPG, GALM, GADD45B, PIM1, NCOA3, SNX9, MYO1E, MXD1, CTSZ, DENND5A, PRAF2, SYNGR2, BMPR2, NFKBIZ, SPRY4, IFNGR1, TRAF1, GSTO1	MDA-MB-231
8	HALLMARK_P53_PATHWAY	3.7685294584379e-05	0.000295201474244302	0.557332238758646	0.437096354600675	1.82716934046284	153	CCND3, KLF4, TAP1, MXD4, RNF19B, PDGFA, DDIT3, CD81, PPP1R15A, IER3, TOB1, FAS, TP63, TXNIP, DDIT4, SERTAD3, SAT1, VAMP8, EPS8L2, DGKA, FAM162A, TRAFD1, PROCR, TGFB1, TSPYL2, UPP1, RALGDS, ITGB4, MXD1, STOM, TSC22D1, BAK1, S100A10, IP6K2, FOXO3, NUDT15, ERCC5, PLK3, HDAC3, EPHX1, CTSD, BAIAP2, RHBDF2, CCNK, SLC19A2, IER5, FOS, MKNK2	MDA-MB-231
9	HALLMARK_UV_RESPONSE_UP	0.00122905782501869	0.00525142888871621	0.45505986738723	0.459310342824957	1.80245261451283	102	CCND3, IRF1, TAP1, ARRB2, RHOB, CLCN2, SELENOW, C4BPB, DNAJA1, SQSTM1, GRINA, CDC34, E2F5, ACAA1, PRKCD, GRPEL1, BCL2L11, NFKBIA, BAK1, ATP6V1F, POLG2, NXF1, EPHX1, HSPA13, PPP1R2, TGFBRAP1, CREG1, FOS, EPCAM, RPN1, STIP1, CNP, ENO2, AMD1	MDA-MB-231
10	HALLMARK_COMPLEMENT	0.0012234584727407	0.00525142888871621	0.45505986738723	0.440265022326357	1.75139478457934	110	IRF1, JAK2, IRF2, SERPINE1, ERAP2, LRP1, PSMB9, CD55, LIPA, C4BPB, CDA, FN1, PLAUR, PIM1, LAP3, PLAT, CASP7, PRKCD, DUSP5, LGALS3, DYRK2, GNB2, GRB2, CALM3, PPP2CB, PSEN1, VCPIP1, TIMP2, TIMP1, CTSL, XPNPEP1, CTSD, SH2B3, BRPF3, USP8	MDA-MB-231
