pathway	pval	padj	log2err	ES	NES	size	leadingEdge	cellline
1	HALLMARK_KRAS_SIGNALING_UP	0.00680515759312321	0.0266535339063992	0.235141995561108	0.416546760072277	1.57358230980853	83	G0S2, ANGPTL4, GNG11, HDAC9, NRP1, NGF, PLAU, ETV1, TRIB2, LAPTM5, CDADC1, ANKH, ITGA2, AMMECR1, CAB39L, DCBLD2, PLAUR	MDA-MB-231
2	HALLMARK_G2M_CHECKPOINT	0.00846286701208981	0.0305965191975555	0.206652311234449	0.334157954713797	1.43409560996082	195	MT2A, HMGA1, SLC7A5, AURKB, SUV39H1, PURA, PLK4, H2BC12, CENPA, TROAP, CDK4, ABL1, SLC7A1, HUS1, CDKN3, KIF4A, ESPL1, TNPO2, CCNA2, RBL1, PLK1, STAG1, ATRX, BIRC5, RPA2, FOXN3, TLE3, DKC1, BUB3, RAD54L, SMC4, CDK1, KIF20B, HMMR, CHAF1A, LIG3, POLA2, UBE2C, SLC38A1, XPO1, PML, PBK, CDC25B, LBR, CCNF, PRPF4B, SNRPD1, TPX2, NSD2, G3BP1, CDKN1B, ILF3, MCM3, TENT4A, TOP2A, CCNB2, CHMP1A, CASP8AP2, KIF22, H2AZ2	MDA-MB-231
3	HALLMARK_E2F_TARGETS	0.015705902657922	0.0492118283281556	0.150964206987421	0.321359231854782	1.38123834231622	197	HMGA1, GINS4, AURKB, PAN2, SUV39H1, PLK4, POLD2, CDK4, HUS1, CDKN3, KIF4A, MSH2, KIF18B, ESPL1, MCM4, PLK1, STAG1, CDCA3, POLD3, RFC3, CDKN1A, DCLRE1B, BIRC5, RPA2, TBRG4, ASF1B, RNASEH2A, PA2G4, PRKDC, SMC4, CDK1, CENPM, DNMT1, GINS1, HMMR, POLA2, UBR7, XPO1, ASF1A, PRPS1, ING3, CDC25B, LBR, NCAPD2, RPA3, CNOT9, CDCA8, DLGAP5, TCF19, CDKN1B, HELLS, ILF3, MCM3, RRM2, TOP2A, MMS22L, CCNB2, KIF22, AK2, MAD2L1, UBE2T, PRIM2, CDC20, LUC7L3, TIMELESS, PRDX4, PPM1D, CKS2, CTCF, MRE11, SPC25, TFRC, PAICS, DUT, IPO7, TUBG1, BRCA2, NAP1L1, MCM5	MDA-MB-231
4	HALLMARK_SPERMATOGENESIS	0.0677413512044919	0.132660146108797	0.0732425961656048	0.389429802980843	1.36140230452831	54	GSTM3, CLGN, RPL39L, CDKN3, COIL, HSPA4L, PIAS2, CAMK4, CDK1, PGS1, MTOR, AGFG1, VDAC3, GAD1, PHF7, CSNK2A2, CCNB2	MDA-MB-231
5	HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	0.129061371841155	0.224662388019789	0.0520088039998597	0.388698033565668	1.28625570827249	41	FTL, NQO1, G6PD, MSRA, GSR, GPX3, NDUFB4, ERCC2, PRNP, SBNO2, TXNRD2, TXN, ATOX1, GCLC, PRDX2, NDUFA6	MDA-MB-231
6	HALLMARK_XENOBIOTIC_METABOLISM	0.146439845668187	0.245809740943028	0.0478123851715253	0.301402298032249	1.19235141548603	109	SERPINE1, AOX1, FBLN1, MT2A, KYNU, NQO1, SLC1A5, TNFRSF1A, TMEM97, PDK4, LPIN2, FBP1, AP4B1, PGRMC1, GSR, ACP1, PPARD, SHMT2, DDT, SSR3, FAH, AKR1C3	MDA-MB-231
7	HALLMARK_HEME_METABOLISM	0.170038367631671	0.266152211278555	0.0439056492517661	0.284450369043278	1.16366506440393	137	SLC7A11, SLC30A10, EZH1, H4C3, PIGQ, TENT5C, LAMP2, ASNS, LPIN2, TSPAN5, CTSB, CROCCP2, ATG4A, TCEA1, PPOX, XPO7, ALDH6A1, TFDP2, MPP1, HEBP1, LRP10, FOXJ2, FBXO34, BPGM, SIDT2, BMP2K, H1-0, ARL2BP, CLCN3, GCLC, FBXO9, VEZF1, DCAF10, PRDX2, PC, YPEL5, SLC25A37, SDCBP, NARF, BACH1, MOSPD1, MARK3, GMPS, RAD23A	MDA-MB-231
8	HALLMARK_DNA_REPAIR	0.265508253692441	0.367026115398375	0.0339775191948361	0.270620162223123	1.10034725874387	130	AAAS, ELL, POLR2E, DDB2, UPF3B, SEC61A1, PDE4B, ERCC1, ERCC2, DGCR8, PRIM1, POLD3, RFC3, COX17, TAF10, RPA2, TAF1C, SUPT4H1, SMAD5, DGUOK, TARBP2, POLH, RAE1, TAF9, POLA2, GSDME, NELFE, DAD1, POLA1, REV3L, RPA3, CETN2, SDCBP, AK3, RBX1, CANT1, EIF1B, GTF2H1	MDA-MB-231
9	HALLMARK_PI3K_AKT_MTOR_SIGNALING	0.328828027743198	0.44156906582658	0.0302960517152991	0.281035560481446	1.06991154236187	86	NGF, DDIT3, TNFRSF1A, CAB39L, CAB39, CDK4, CSNK2B, CDK2, AKT1S1, IRAK4, PIK3R3, PIN1, CDKN1A, PRKAG1, RPTOR, CAMK4, MAPKAP1, CDK1, ECSIT, PAK4, UBE2D3, MAPK8, PTEN, PPP1CA, ARHGDIA, CDKN1B, EGFR	MDA-MB-231
10	HALLMARK_P53_PATHWAY	0.614670868347339	0.704622702739632	0.0196155974069712	0.226147948353668	0.932800003154771	146	SLC7A11, RAP2B, ZFP36L1, PITPNC1, GM2A, PIDD1, CDKN2AIP, WRAP73, DDIT3, DDB2, TGFA, SEC61A1, MXD1, DEF6, BTG1, SDC1, RPS27L, CDKN1A, SLC3A2, ACVR1B, IRAK1, HSPA4L, RRP8, TPRKB, BAX, POLH, CD82, LIF, HINT1, IER3, SESN1, SP1, MAPKAPK3, RB1	MDA-MB-231
11	HALLMARK_TGF_BETA_SIGNALING	0.571505763688761	0.68873771521466	0.0211645783237657	0.275578554376305	0.928500954566971	45	SERPINE1, PMEPA1, HIPK2, SMAD1, XIAP, BMPR1A, FNTA, KLF10	MDA-MB-231
12	HALLMARK_MYC_TARGETS_V2	0.699511842343157	0.764582711398334	0.0181632454774484	0.246689931557999	0.865943389552823	55	TMEM97, PLK4, FARSA, EXOSC5, CDK4, MCM4, SORD, PLK1, PPRC1, PPAN, TBRG4, PA2G4, WDR43	MDA-MB-231
13	HALLMARK_WNT_BETA_CATENIN_SIGNALING	0.85041095890411	0.88820700152207	0.0154580379702625	0.247318906540483	0.730034541560992	25	FZD1, PPARD, RBPJ, ADAM17, LEF1, MAML1, PSEN2	MDA-MB-231
14	HALLMARK_MYC_TARGETS_V1	1	1	0.0122432388718057	0.143913081803909	0.619237165734902	198	VBP1, SNRPA, POLD2, CDK4, CSTF2, PPM1G, CDK2, SNRPG, ACP1, CCNA2, UBE2L3, MCM4, XPOT, ABCE1, YWHAQ, PCBP1, PABPC4, SF3A1, BUB3, IARS1, PA2G4, SF3B3, XPO1, EIF2S2, VDAC3, RPL34, SNRPD1, LSM7, PTGES3, G3BP1, RPS6, CAD, MAD2L1, PSMD3, CDC20, SET, PHB2, CBX3, PRDX4, PABPC1, CCT7, NDUFAB1, MRPL9, LSM2, DUT, CCT2, NAP1L1, MCM5, SRM, COX5A, KPNB1, NHP2	MDA-MB-231
15	HALLMARK_OXIDATIVE_PHOSPHORYLATION	1	1	0.0123137978967772	0.13878286949027	0.594171640584257	191	NDUFB1, NDUFC1, ATP5MC1, PDK4, SLC25A5, AIFM1, NDUFA3, ATP6AP1, IDH3G, NDUFB4, COX7B, NDUFA1, ALDH6A1, COX17, GLUD1, MTRF1, CS, ACADSB, ATP6V0E1, LRPPRC, MTRR, BAX, ATP5MC2, MPC1, MRPS22, ATP5MG, COX8A, PDHX, VDAC3, NDUFA6, COX7A2L, RHOT1, ATP6V1H, ATP6V0C, NQO2, MDH1, UQCR10, MRPL15, ATP5PD, TOMM22, ATP5F1E, SUCLG1, NDUFB7, NDUFA8, PDHA1, ATP6V0B, PHB2, MRPS11, NDUFAB1, ACADVL, COX6B1, NDUFA9, COX6A1, COX7C, ABCB7, COX5A, ISCA1, NDUFV2, NDUFS6, LDHB, ATP5MF, ATP5ME, NDUFS3, GOT2	MDA-MB-231
16	HALLMARK_NOTCH_SIGNALING	0.740216670351537	0.790685988784596	0.0203381828911095	-0.273123932172254	-0.804014536440655	22	HES1, ARRB1, ST3GAL6	MDA-MB-231
17	HALLMARK_PROTEIN_SECRETION	0.657064471879287	0.735286432817297	0.0227201637711662	-0.22985443839658	-0.907300062639656	91	ABCA1, TSPAN8, KRT18, ICA1, SOD1, SCAMP1, LMAN1, GOLGA4, ADAM10, SNAP23, CAV2, ARCN1, RAB5A, NAPG, GALC, RAB9A, VPS4B	MDA-MB-231
18	HALLMARK_MITOTIC_SPINDLE	0.597960151802656	0.702603178368121	0.0248525597253793	-0.214762452187244	-0.94800287527403	193	NEDD9, MYH10, SORBS2, SHROOM2, ARHGAP27, FGD4, SYNPO, FSCN1, SPTAN1, CLIP2, ALS2, GEMIN4, FLNB, ITSN1, MYO1E, CDC42EP4, PCNT, NUMA1, KIFAP3, ARL8A	MDA-MB-231
19	HALLMARK_ALLOGRAFT_REJECTION	0.447487550928022	0.553471444568869	0.029067703848247	-0.256671790613646	-1.00136977347147	83	CD40, IL18, EREG, TAP1, JAK2, TGFB2, INHBB, GBP2, APBB1, GALNT1, ACVR2A, IL4R	MDA-MB-231
20	HALLMARK_UNFOLDED_PROTEIN_RESPONSE	0.444315813845798	0.553471444568869	0.0296102583825489	-0.247598403543512	-1.00209397535703	105	IFIT1, TSPYL2, IGFBP1, RRP9, ZBTB17, CXXC1, HSPA5, GEMIN4, EIF2AK3, FUS, CALR, EXOSC10, EIF4A3, HERPUD1, YWHAZ, NOP56, HYOU1, CNOT6, H2AX, EIF4A1, EDEM1, NPM1, ARFGAP1, SPCS1, EEF2, EIF4A2, VEGFA	MDA-MB-231
21	HALLMARK_GLYCOLYSIS	0.359934472267728	0.469914449905089	0.0338468518961559	-0.242554963927374	-1.03493910109529	149	SDC2, CAPN5, ANKZF1, IDH1, GNE, P4HA2, ABCB6, CYB5A, LHPP, ALDH7A1, PYGB, PLOD2, FAM162A, PYGL, COL5A1, SOD1, HSPA5, TGFBI, AK4, CITED2, P4HA1, MXI1, GMPPB, PLOD1, SLC35A3, B4GALT2, SDC3, AKR1A1, HK2, AGL, FKBP4, GYS1	MDA-MB-231
